"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"UI тесты XYZ Bank","Сортировка клиентов по имени (First Name)","","0","0","1","0","0"
"UI тесты XYZ Bank","Поиск клиента","","0","0","1","0","0"
"UI тесты XYZ Bank","Создание клиента (Customer)","","0","0","1","0","0"
