"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 04 17:59:20 GMT 2023","Wed Oct 04 17:59:21 GMT 2023","482","","tests.CustomersTest","","tests.CustomersTest","sortCustomersByFirstName","sortCustomersByFirstName()","Сортировка клиентов по имени (First Name)"
"passed","Wed Oct 04 17:59:18 GMT 2023","Wed Oct 04 17:59:20 GMT 2023","2418","","tests.CustomersTest","","tests.CustomersTest","searchCustomer","searchCustomer()","Поиск клиента"
"passed","Wed Oct 04 17:59:17 GMT 2023","Wed Oct 04 17:59:20 GMT 2023","2725","","tests.AddCustomerTest","","tests.AddCustomerTest","createCustomer","createCustomer()","Создание клиента (Customer)"
