"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 11 07:11:56 GMT 2023","Wed Oct 11 07:11:59 GMT 2023","3154","","tests.api.ApiTest","","tests.api.ApiTest","patchEntityTest","patchEntityTest()","Проверка метода обновления сущности"
"failed","Wed Oct 11 07:11:56 GMT 2023","Wed Oct 11 07:11:59 GMT 2023","3152","","tests.api.ApiTest","","tests.api.ApiTest","getEntitiesListTest","getEntitiesListTest()","Проверка метода получения списка сущностей"
"failed","Wed Oct 11 07:11:59 GMT 2023","Wed Oct 11 07:11:59 GMT 2023","432","","tests.api.ApiTest","","tests.api.ApiTest","createEntityTest","createEntityTest()","Проверка метода создания сущности"
"failed","Wed Oct 11 07:11:59 GMT 2023","Wed Oct 11 07:11:59 GMT 2023","424","","tests.api.ApiTest","","tests.api.ApiTest","deleteEntityTest","deleteEntityTest()","Проверка метода удаления сущности"
"failed","Wed Oct 11 07:11:56 GMT 2023","Wed Oct 11 07:11:59 GMT 2023","2634","","tests.api.ApiTest","","tests.api.ApiTest","getEntityTest","getEntityTest()","Проверка метода получения сущности"
