"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Управление клинтами XYZ Bank","Сортировка клиентов по имени (First Name)","","0","0","1","0","0"
"Управление клинтами XYZ Bank","Поиск клиента","","0","0","1","0","0"
"Управление клинтами XYZ Bank","Создание клиента (Customer)","","0","0","1","0","0"
